,R2_mean,R2_std,RMSE_mean,RMSE_std,nRMSE_mean,nRMSE_std,MAE_mean,MAE_std,Bias_mean,Bias_std
Cab,0.40946054458618164,0.0,10.419576644897461,0.0,0.1414249970461269,0.0,7.78682804107666,0.0,-0.7868946194648743,0.0
Car,0.3080996870994568,0.0,2.3818633556365967,0.0,0.12954988404872755,0.0,1.6825165748596191,0.0,-0.4709494113922119,0.0
Anth,0.15800094604492188,0.0,0.3968313932418823,0.0,0.17157541681295932,0.0,0.2902671992778778,0.0,-0.055283062160015106,0.0
Cw,0.46454930305480957,0.0,0.006576519925147295,0.0,0.11716575588612582,0.0,0.00427000317722559,0.0,-0.0007821060135029256,0.0
Cm,0.49579912424087524,0.0,0.004499755799770355,0.0,0.09008519466076069,0.0,0.0027020403649657965,0.0,-0.0005446564173325896,0.0
LAI,0.37126439809799194,0.0,1.4006024599075317,0.0,0.19848741071609577,0.0,1.0760154724121094,0.0,0.11518727242946625,0.0
Cp,0.44077038764953613,0.0,0.0003296607465017587,0.0,0.07853557808106966,0.0,0.00021404962171800435,0.0,-6.219503120519221e-06,0.0
Cbc,0.5126775503158569,0.0,0.004459063522517681,0.0,0.0974604896756123,0.0,0.0026211566291749477,0.0,-0.0005578934797085822,0.0
