,R2,RMSE,nRMSE,MAE,Bias
Anth,0.612168550491333,0.23114871978759766,0.11720932403057234,0.16384319961071014,-0.05553602799773216
B,0.4310801029205322,0.00019939840422011912,0.0906964266708463,0.00012068439536960796,-1.0456479685672093e-05
C,0.6948950290679932,2.470568895339966,0.06789701173176246,1.2903435230255127,-0.18787749111652374
Ca,0.29661011695861816,0.08109262585639954,0.09931299632920143,0.04965618997812271,-0.011944688856601715
Car,0.5973660945892334,1.7077300548553467,0.11825132295083114,1.1580133438110352,-0.05647992342710495
Cel,0.6538650393486023,1.1182401180267334,0.10354504721810934,0.697846531867981,-0.21607279777526855
Chl,0.6529196500778198,8.538945198059082,0.12861113016730805,6.049550533294678,-0.3315543830394745
Cu,0.5041785836219788,2.482453237462323e-05,0.10194625517147823,1.7150063285953365e-05,-2.8412018764356617e-06
EWT,0.5246052742004395,6.232025623321533,0.09518171613351428,3.76981520652771,-0.9033992886543274
Fiber,0.6777973175048828,2.644697666168213,0.09056585466663088,1.5932124853134155,-0.3296303451061249
LAI,0.7328028678894043,0.8586792349815369,0.1187849241148358,0.6116567254066467,-0.03450244292616844
LMA,0.7299314737319946,35.266761779785156,0.05409865370045589,18.07276725769043,-1.966309905052185
Lignin,0.6680039167404175,1.3951067924499512,0.1077316600880691,0.8485477566719055,-0.1952647715806961
Mg,0.3336864709854126,0.01246594451367855,0.12131712789849666,0.008215061388909817,-0.0019697328098118305
Mn,0.3217913508415222,0.0019155690679326653,0.12707331691970308,0.0012678327038884163,-0.0004091101582162082
N,0.6120944619178772,0.06080278009176254,0.10271755328950483,0.039386045187711716,-0.005703919101506472
NSC,0.6080710887908936,1.8452574014663696,0.08590779273539376,1.0529786348342896,-0.15053145587444305
P,0.5053787231445312,0.006188827101141214,0.11869769288725081,0.004460947122424841,-0.0004853519203606993
K,0.28519248962402344,0.05480969324707985,0.14559559823645726,0.03899882733821869,-0.011434118263423443
S,0.3982729911804199,0.006719255354255438,0.1466671633671659,0.004888954572379589,-0.001514832372777164
