,R2_mean,R2_std,RMSE_mean,RMSE_std,nRMSE_mean,nRMSE_std,MAE_mean,MAE_std,Bias_mean,Bias_std
Cab,0.5487411022186279,0.0,9.10832405090332,0.0,0.123627355111878,0.0,6.159815788269043,0.0,-0.6191461086273193,0.0
Car,0.5531083941459656,0.0,1.9142390489578247,0.0,0.10411573201593378,0.0,1.270016074180603,0.0,-0.363085001707077,0.0
Anth,0.6103178262710571,0.0,0.26996374130249023,0.0,0.1167224726349399,0.0,0.17936921119689941,0.0,-0.005119924899190664,0.0
Cw,0.6490151286125183,0.0,0.005324521567672491,0.0,0.0948604431080401,0.0,0.003362364135682583,0.0,1.3838680388289504e-05,0.0
Cm,0.6990245580673218,0.0,0.0034765838645398617,0.0,0.06960127351966894,0.0,0.001993140671402216,0.0,-0.00028364715399220586,0.0
LAI,0.5625396966934204,0.0,1.1682888269424438,0.0,0.16556491286161248,0.0,0.8311280012130737,0.0,0.27310818433761597,0.0
Cp,0.6763001084327698,0.0,0.0002508091856725514,0.0,0.05975065152238584,0.0,0.00017021024541463703,0.0,1.601184885657858e-05,0.0
Cbc,0.6836525201797485,0.0,0.003592672059312463,0.0,0.07852401661835591,0.0,0.0019454285502433777,0.0,3.156189268338494e-05,0.0
