,R2,RMSE,nRMSE,MAE,Bias
Cab,0.6084234714508057,8.484650611877441,0.11516223054127692,5.88630485534668,0.2238004207611084
Car,0.7299785614013672,1.4879701137542725,0.08093090447387045,1.0144257545471191,0.078062042593956
Anth,0.5917065143585205,0.27633535861968994,0.11947732750677928,0.1666300743818283,-0.008524617180228233
Cw,0.6547439098358154,0.005280889105051756,0.09408309725912334,0.003095814725384116,-0.0005229396629147232
Cm,0.7518935203552246,0.0031565031968057156,0.0631932526085234,0.0017984609585255384,-0.0002214613778050989
LAI,0.5848618745803833,1.1380915641784668,0.1612854854949555,0.7810125350952148,0.009629989974200726
Cp,0.6990587711334229,0.00024183157074730843,0.05761190074473013,0.00015223176160361618,-1.340299058938399e-05
Cbc,0.7739022374153137,0.0030372710898518562,0.06638477478504429,0.0017156031681224704,-6.408670014934614e-05
