,R2_mean,R2_std,RMSE_mean,RMSE_std,nRMSE_mean,nRMSE_std,MAE_mean,MAE_std,Bias_mean,Bias_std
Cab,0.5027152299880981,0.0,9.56154727935791,0.0,0.12977895761262023,0.0,6.57894229888916,0.0,0.5058274865150452,0.0
Car,0.5045111179351807,0.0,2.0156357288360596,0.0,0.10963071174391253,0.0,1.3734843730926514,0.0,0.03835146501660347,0.0
Anth,0.32358318567276,0.0,0.3556783199310303,0.0,0.15378232930352462,0.0,0.24404633045196533,0.0,-0.011266758665442467,0.0
Cw,0.6290767192840576,0.0,0.005473668221384287,0.0,0.09751760534869694,0.0,0.0035842314828187227,0.0,0.0001927760458784178,0.0
Cm,0.6956872344017029,0.0,0.0034958054311573505,0.0,0.0699860896402481,0.0,0.0021189881954342127,0.0,-0.00045507174218073487,0.0
LAI,0.5512568354606628,0.0,1.1832590103149414,0.0,0.16768642344053034,0.0,0.8828378319740295,0.0,0.0023522241972386837,0.0
Cp,0.6254251003265381,0.0,0.0002697997260838747,0.0,0.0642747966779791,0.0,0.0001754243130562827,0.0,-5.715580846299417e-05,0.0
Cbc,0.7195227742195129,0.0,0.0033828613813966513,0.0,0.0739382439991532,0.0,0.0019973900634795427,0.0,-0.00015097437426447868,0.0
