,R2,RMSE,nRMSE,MAE,Bias
Cab,0.5620533227920532,8.972970008850098,0.12179019361770804,6.00410270690918,-0.4449898302555084
Car,0.6747393012046814,1.6330928802490234,0.08882415222367714,1.116266131401062,-0.07455535978078842
Anth,0.5907084941864014,0.2766728699207306,0.11962325507990311,0.17996281385421753,-0.05151621252298355
Cw,0.7015289068222046,0.004910068586468697,0.08747664478085516,0.0028729711193591356,-0.0004359031154308468
Cm,0.753349244594574,0.0031472293194383383,0.0630075894114355,0.0016952877631410956,-0.0001701915025478229
LAI,0.554428219795227,1.1790703535079956,0.1670928248515032,0.7930397987365723,0.20575489103794098
Cp,0.6979811191558838,0.0002422641555313021,0.057714956071882456,0.00014390000433195382,-2.5307164833066054e-05
Cbc,0.7728304266929626,0.0030444615986198187,0.06654193570056019,0.0016207031439989805,-9.055502596311271e-05
