,R2,RMSE,nRMSE,MAE,Bias
Cab,0.5702996253967285,8.888090133666992,0.1206381183937185,5.924228191375732,-0.2999454736709595
Car,0.6121813058853149,1.7832386493682861,0.0969906017950921,1.1268624067306519,0.035096701234579086
Anth,0.6665727496147156,0.24971851706504822,0.10796917628246692,0.14381054043769836,-0.05309097096323967
Cw,0.6182007193565369,0.0055533358827233315,0.09893694595234606,0.0030808080919086933,-0.0002825066039804369
Cm,0.7578585147857666,0.00311832781881094,0.062428980832245455,0.0017731894040480256,0.00020612760272342712
LAI,0.6105250120162964,1.1023529767990112,0.15622076522303238,0.7174477577209473,0.048342254012823105
Cp,0.681250810623169,0.00024888385087251663,0.05929197610189708,0.0001557869982207194,1.6934162658799323e-06
Cbc,0.7697395086288452,0.00306510366499424,0.06699310350442939,0.0017284934874624014,0.0002546074101701379
