,R2_mean,R2_std,RMSE_mean,RMSE_std,nRMSE_mean,nRMSE_std,MAE_mean,MAE_std,Bias_mean,Bias_std
Cab,0.5710372924804688,0.0,8.880457878112793,0.0,0.12053452572810512,0.0,5.945377826690674,0.0,1.423825979232788,0.0
Car,0.6091398000717163,0.0,1.790217399597168,0.0,0.09737017700490301,0.0,1.191032886505127,0.0,0.21355745196342468,0.0
Anth,0.43003636598587036,0.0,0.32649293541908264,0.0,0.1411636338127884,0.0,0.20534606277942657,0.0,0.007176965940743685,0.0
Cw,0.620347261428833,0.0,0.005537702701985836,0.0,0.09865842882491987,0.0,0.0034354040399193764,0.0,3.540881516528316e-05,0.0
Cm,0.7341214418411255,0.0,0.0032675995025783777,0.0,0.06541740271287627,0.0,0.0018835114315152168,0.0,-0.00037155154859647155,0.0
LAI,0.596531867980957,0.0,1.121980905532837,0.0,0.15900235162147003,0.0,0.7798420786857605,0.0,0.14953301846981049,0.0
Cp,0.6820605993270874,0.0,0.0002485674631316215,0.0,0.05921660257201025,0.0,0.00016409685485996306,0.0,5.621953278023284e-06,0.0
Cbc,0.7594704627990723,0.0,0.003132705809548497,0.0,0.06847066444925742,0.0,0.0017740713665261865,0.0,-6.576486339326948e-05,0.0
