,R2,RMSE,nRMSE,MAE,Bias
Cab,0.5323262214660645,9.272505760192871,0.12585579476375902,6.079074859619141,0.4824252724647522
Car,0.662688136100769,1.6630713939666748,0.09045468781543736,1.0956088304519653,0.048166822642087936
Anth,0.5884032249450684,0.27745094895362854,0.11995966806702159,0.1762583702802658,-0.02680903673171997
Cw,0.6774369478225708,0.005104388110339642,0.09093859641437986,0.0029852227307856083,-0.00018823258869815618
Cm,0.7571708559989929,0.003122752532362938,0.06251756367971247,0.0017321573104709387,-0.0002292245626449585
LAI,0.5573927164077759,1.175141453742981,0.16653603792327498,0.8009935617446899,0.2491389811038971
Cp,0.6824959516525269,0.00024839723482728004,0.059176048825684426,0.00015595174045301974,-4.652169536711881e-06
Cbc,0.7784184813499451,0.0030067835468798876,0.06571841718505732,0.0016336344415321946,-3.1037373560138803e-07
