,R2,RMSE,nRMSE,MAE,Bias
Anth,0.6682415008544922,0.2060975730419159,0.11653700934549201,0.15359394252300262,-0.0033669231925159693
B,0.3112618327140808,0.00023127415624912828,0.10245450162302282,0.0001304175384575501,-3.840865974780172e-05
C,0.7146586179733276,2.3747718334198,0.08528034446546168,1.3363909721374512,-0.2726902961730957
Ca,0.1912022829055786,0.09191430360078812,0.11684910169095829,0.058071624487638474,-0.023447562009096146
Car,0.5261404514312744,1.973585605621338,0.10129968468403201,1.2324730157852173,-0.03393876180052757
Cel,0.6365830898284912,1.148268699645996,0.11138751322559448,0.6994102597236633,-0.09221188724040985
Chl,0.6492767333984375,8.200064659118652,0.09086559503542603,5.589107990264893,0.8080861568450928
Cu,0.5223590135574341,2.2480186089524068e-05,0.11014402144947975,1.60288382176077e-05,-2.6550560505711474e-06
EWT,0.5907300710678101,6.601602077484131,0.08211618614320443,4.086025238037109,-1.7932438850402832
Fiber,0.6401216387748718,2.8518710136413574,0.10594139432655872,1.705424189567566,-0.28684353828430176
LAI,0.6252331733703613,1.020529866218567,0.13986586783504842,0.7344620823860168,-0.05057559907436371
LMA,0.7583532333374023,33.592498779296875,0.06700405308053295,18.335018157958984,-3.0310256481170654
Lignin,0.6149181127548218,1.5751314163208008,0.10839395653872534,0.9687395691871643,-0.24100357294082642
Mg,0.2324628233909607,0.01482364535331726,0.14464104434882466,0.010000654496252537,-0.003677493892610073
Mn,0.16135352849960327,0.0020075151696801186,0.1724422534652401,0.0013757902197539806,-9.542900079395622e-05
N,0.6639835834503174,0.0568876750767231,0.06828527089614826,0.03910863772034645,-0.002434017136693001
NSC,0.5677462816238403,1.7775378227233887,0.13434922544704545,1.0518168210983276,-0.1399417668581009
P,0.6183480024337769,0.005748149938881397,0.09822849904121032,0.004104145802557468,-0.0010669920593500137
K,0.3866886496543884,0.05521119013428688,0.11860802425248325,0.03820815682411194,-0.005434893071651459
S,0.4947277903556824,0.007044594269245863,0.12445172028929109,0.004825113341212273,-0.0010855288710445166
