,R2_mean,R2_std,RMSE_mean,RMSE_std,nRMSE_mean,nRMSE_std,MAE_mean,MAE_std,Bias_mean,Bias_std
Cab,0.5871806144714355,0.0,8.711753845214844,0.0,0.1182447045417572,0.0,5.972223281860352,0.0,1.9699455499649048,0.0
Car,0.6536340713500977,0.0,1.6852434873580933,0.0,0.09166063110398849,0.0,1.173980474472046,0.0,0.1655030995607376,0.0
Anth,0.6231011152267456,0.0,0.2654988467693329,0.0,0.11479201513183244,0.0,0.1781265288591385,0.0,0.006834864616394043,0.0
Cw,0.6854637265205383,0.0,0.005040478426963091,0.0,0.08979999629661486,0.0,0.003163812216371298,0.0,-0.000730180530808866,0.0
Cm,0.7295563220977783,0.0,0.003295532427728176,0.0,0.06597662039302071,0.0,0.0018731773598119617,0.0,-0.00023969683388713747,0.0
LAI,0.5981742739677429,0.0,1.1196950674057007,0.0,0.1586784123852064,0.0,0.7692334651947021,0.0,-0.03590558469295502,0.0
Cp,0.6799006462097168,0.0,0.00024941039737313986,0.0,0.05941741607087073,0.0,0.0001652225764701143,0.0,-1.5522338799200952e-05,0.0
Cbc,0.7758499979972839,0.0,0.003024160396307707,0.0,0.06609821806605003,0.0,0.001773109077475965,0.0,-0.00013337822747416794,0.0
