,R2,RMSE,nRMSE,MAE,Bias
Cab,0.5947868824005127,8.631123542785645,0.11715030880270748,6.131009578704834,-1.3672791719436646
Car,0.582452654838562,1.8503246307373047,0.10063941778912658,1.2098356485366821,-0.42026159167289734
Anth,0.49925923347473145,0.30602484941482544,0.13231398016302448,0.21126456558704376,-0.02562634088099003
Cw,0.6851896643638611,0.00504267355427146,0.08983910417635653,0.00309670134447515,-0.00047010352136567235
Cm,0.709757924079895,0.0034140299540013075,0.06834894306921536,0.002005138201639056,-8.004855044418946e-05
LAI,0.5272517800331116,1.214495301246643,0.1721130974503828,0.8826904892921448,0.16333749890327454
Cp,0.6280015110969543,0.000268870237050578,0.06405336310020376,0.00016792915994301438,-5.175616479391465e-06
Cbc,0.7405229806900024,0.003253755159676075,0.07111640584288692,0.0018153394339606166,-2.0901576135656796e-05
