,R2,RMSE,nRMSE,MAE,Bias
Cab,0.6063401103019714,8.507190704345703,0.11546816739642779,6.128140449523926,-1.4825587272644043
Car,0.5852523446083069,1.8441109657287598,0.1003014556724209,1.2509222030639648,-0.4465375244617462
Anth,0.3908653259277344,0.33752572536468506,0.14593380967529318,0.21574144065380096,0.005607629660516977
Cw,0.6891098618507385,0.005011178553104401,0.08927799652970247,0.00316311651840806,-0.00037039141170680523
Cm,0.718591034412384,0.0033616782166063786,0.06730086031452635,0.001951980171725154,-0.00015756196808069944
LAI,0.6432844400405884,1.0549743175506592,0.1495064635802761,0.776590883731842,0.10762470215559006
Cp,0.6359752416610718,0.00026597303804010153,0.06336315899941782,0.00016815254639368504,-8.739437362237368e-06
Cbc,0.7524155974388123,0.0031783159356564283,0.06946755206976289,0.001792111899703741,1.6884976503206417e-05
