,R2_mean,R2_std,RMSE_mean,RMSE_std,nRMSE_mean,nRMSE_std,MAE_mean,MAE_std,Bias_mean,Bias_std
Cab,0.5788581371307373,0.0,8.799131393432617,0.0,0.11943068070180089,0.0,6.2677507400512695,0.0,1.8018114566802979,0.0
Car,0.5359659790992737,0.0,1.9506078958511353,0.0,0.10609383873094097,0.0,1.282082200050354,0.0,0.2293969690799713,0.0
Anth,0.47773855924606323,0.0,0.3125317692756653,0.0,0.1351273349184826,0.0,0.20884689688682556,0.0,0.047574710100889206,0.0
Cw,0.5712859630584717,0.0,0.005884644575417042,0.0,0.10483946489137799,0.0,0.003578868927434087,0.0,0.00012075479025952518,0.0
Cm,0.7195389270782471,0.0,0.0033560115844011307,0.0,0.06718741423256192,0.0,0.0020523699931800365,0.0,-4.695809548138641e-05,0.0
LAI,0.6002745628356934,0.0,1.116765022277832,0.0,0.158263178878655,0.0,0.8033013939857483,0.0,-0.16992555558681488,0.0
Cp,0.6312713027000427,0.0,0.00026768597308546305,0.0,0.06377123410520562,0.0,0.0001705360773485154,0.0,-2.508571560611017e-05,0.0
Cbc,0.7303817272186279,0.0,0.0033167297951877117,0.0,0.07249282463196978,0.0,0.0019302810542285442,0.0,-5.2657429478131235e-05,0.0
