,R2,RMSE,nRMSE,MAE,Bias
Anth,0.5922204256057739,0.22849389910697937,0.12920091810204087,0.17141209542751312,-0.0033394901547580957
B,0.3171871304512024,0.0002302771754330024,0.10201283890419374,0.00012761134712491184,-3.8644411688437685e-05
C,0.7477214336395264,2.2329537868499756,0.08018752178132318,1.2835414409637451,-0.29945313930511475
Ca,0.20795732736587524,0.09095726907253265,0.11563243985995986,0.05717877298593521,-0.02220045030117035
Car,0.5040806531906128,2.0190014839172363,0.10363077898159835,1.2615338563919067,-0.07825183123350143
Cel,0.6605989933013916,1.1096795797348022,0.10764418546111104,0.6647116541862488,-0.1706600934267044
Chl,0.648088276386261,8.213946342468262,0.09101941911731946,5.7308526039123535,0.1921449601650238
Cu,0.5496622323989868,2.1828216631547548e-05,0.1069496289441065,1.5175643056863919e-05,-3.2078946787805762e-06
EWT,0.5980997681617737,6.541894912719727,0.08137349905023361,4.117116451263428,-1.5670573711395264
Fiber,0.67003333568573,2.7307820320129395,0.1014431770194169,1.6464086771011353,-0.4121633768081665
LAI,0.5803897380828857,1.0798617601394653,0.1479974346889343,0.7748492360115051,-0.047935884445905685
LMA,0.7860981822013855,31.60523796081543,0.06304023573424915,17.53266716003418,-3.1591217517852783
Lignin,0.6316690444946289,1.5404918193817139,0.10601020434749253,0.9394896030426025,-0.3200351893901825
Mg,0.2295045256614685,0.014852184802293777,0.14491951672230055,0.010095042176544666,-0.003299417905509472
Mn,0.20479750633239746,0.0019548265263438225,0.16791638560323785,0.001364864525385201,-0.00011204133625142276
N,0.6741983890533447,0.05601631477475166,0.06723933125829136,0.038896847516298294,-0.0031031561084091663
NSC,0.600430965423584,1.7090129852294922,0.12917000578516244,1.0294287204742432,-0.17701561748981476
P,0.6141295433044434,0.005779829807579517,0.09876986730493459,0.00414004921913147,-0.001148151932284236
K,0.3210822343826294,0.05808917060494423,0.12479067629515161,0.039742618799209595,-0.00599644985049963
S,0.4782065749168396,0.007158838678151369,0.12646999312067242,0.004803072195500135,-0.0013768629869446158
