,r2_score,RMSE,nRMSE (%),MAE,Bias,RPD,spearmanr_squared
cab,0.34732453643522687,11.700600691552092,19.58070784610484,8.736600049614186,-0.9152302391946596,1.239222360995929,0.39701511761699276
cw,0.3684801822475568,0.008212124573904696,17.795660980593787,0.0054365468430084465,-0.0003028385929696125,1.2609292783258252,0.27811294316731494
cm,0.5876630950875624,0.005003719694954154,12.414077771788545,0.0031604751779485173,0.0004172794608500339,1.5610264103599865,0.47834401998413234
LAI,0.06137498659974352,1.6980759301612232,23.578055520817394,1.3450734482060878,0.13788432531967926,1.033704014871358,0.12172231165734478
cp,0.29650436380448764,0.000373610388708226,16.494550401681476,0.00027737155119926684,-1.2590742871568157e-05,1.196213665121515,0.2841447149474285
cbc,0.6064280351382513,0.004994984685362397,12.604223866195948,0.003202083763747568,0.00019865128879200826,1.5987238235233447,0.5052069340106837
car,0.009433990915901469,3.0948406441218754,21.04623624003773,2.1929450487789346,-0.1258260136715609,1.005912136829182,0.21077540282239982
anth,0.009283105842815243,0.3816312338959282,23.263751107453544,0.2892578661907262,0.08680031824175491,1.0173809631839734,0.1452326626034164
