,R2,RMSE,nRMSE,MAE,Bias
Cab,0.6035385131835938,8.537409782409668,0.1158783311844187,6.34808349609375,1.3263412714004517
Car,0.6188952326774597,1.7677353620529175,0.0961473758101391,1.2320146560668945,0.24799306690692902
Anth,0.5829999446868896,0.2792661190032959,0.12074448137353397,0.19579505920410156,-0.024157226085662842
Cw,0.6049442291259766,0.005648922175168991,0.10063988920108824,0.003411112353205681,-0.00037574738962575793
Cm,0.7164548635482788,0.003374413587152958,0.06755582266933326,0.0018592260312289,-0.0005034930654801428
LAI,0.5288769006729126,1.212406039237976,0.17181701614374625,0.8616998195648193,0.1906447857618332
Cp,0.6343283653259277,0.0002665740030352026,0.06350632779885053,0.00016482370847370476,-2.6376396817795467e-06
Cbc,0.7286992073059082,0.003327062353491783,0.07271866043512246,0.0018054229440167546,-0.0004521728551480919
