,r2_score,RMSE,nRMSE (%),MAE,Bias,RPD,spearmanr_squared
cab,0.032517647226673274,0.7627631865496172,1.1017511828844757,0.309055939376428,0.2574233891408927,0.01564370497263684,0.017768055206938756
cw,0.031811109490160014,0.0003510780289941458,0.11814336690479761,0.00023797704855568332,0.00016259930130980868,0.02114824328353931,0.023608060084256303
cm,0.02912250966364807,0.00026466656308141525,0.24976593021091217,0.00013441761389817994,0.0001294190759566037,0.03213449366655911,0.02256297740047279
LAI,0.02250578245679871,0.024597166176660325,0.3184788170659668,0.018533882891903265,0.034319594668284166,0.0118801839884249,0.01979450482998168
cp,0.015363361171763118,2.1693944476359996e-05,0.8600672450085923,7.526845375004096e-06,9.479207445147078e-06,0.00957208495816297,0.01631810154674502
cbc,0.02873185605826023,0.0002486450833378624,0.5513165866290455,0.00012626922728028496,0.00012080140125383379,0.030430985248683987,0.024436772376155172
car,0.02503043553337585,0.13244080770488084,0.8715944967316189,0.06879896614133095,0.07367231764820427,0.011860682134183863,0.008826791215354332
anth,0.10938379336141732,0.026571109349813975,2.3699686713170123,0.01830700368269351,0.03852138530661744,0.04843876771727111,0.03301536401392865
