,r2_score,RMSE,nRMSE (%),MAE,Bias,RPD,spearmanr_squared
cab,-0.021039983858908283,14.616930491104508,24.46128313844153,11.495170842433708,1.7240331918103724,0.990730218315702,0.06759887464133844
cw,0.1704653813000806,0.009418899825437114,20.398771328114407,0.00622915439120277,0.0006944566851794167,1.0995352902412665,0.12494638783196774
cm,0.38773877742575275,0.006101151969866586,15.119631407680263,0.003742917896440181,0.000822160558123158,1.2798206596926183,0.3927661544151053
LAI,0.028334418930540096,1.7275723312499154,23.987687062775553,1.3487406717375356,0.41563866518761755,1.0157753085737535,0.1282203916749401
cp,0.14486068748102798,0.0004128051135293419,18.20677237398034,0.0002984820228048129,2.9802465253031166e-05,1.0822112125195429,0.14463354780063087
cbc,0.3729594197260844,0.006274713394535013,15.842623986895745,0.0038499196464659253,0.0009517395478619614,1.2647136762396296,0.39013297565553984
car,-0.03169948094748789,3.1591284432495055,21.480612341101022,2.315058879509716,0.1255116410260001,0.9857115368779825,0.06674711422493804
anth,-0.0982201086742052,0.40198342511132834,24.493775914599176,0.31280425776189386,0.06661651040567576,0.9661358393215267,0.041605101854136635
