,r2_score,RMSE,nRMSE (%),MAE,Bias,RPD,spearmanr_squared
cab,0.25996731240312465,12.454403028993521,20.842930743984333,9.365512146599873,0.4696096476946516,1.163754976188719,0.32153207556342756
cw,0.3585076725032216,0.0082789294140132,17.933148774428318,0.005471703017973729,-0.0005782389004510038,1.2510275053642885,0.28054974475329236
cm,0.5192009305162955,0.005403299198259796,13.404125790627555,0.0033038190201459656,0.000152281816688994,1.4444738871833562,0.4425204537455202
LAI,0.17898936738996,1.5880843696843308,22.050303881156236,1.2354908678641372,0.29705838376004046,1.1055563177599346,0.23952880946427912
cp,0.16614197429839817,0.00040693509990002844,17.97437030079471,0.000291384440767096,-4.1299647365011846e-06,1.0973864951102963,0.2054237758923271
cbc,0.5317997119065762,0.005417592625385314,13.701161687364714,0.0033228007368124937,-8.260075309869e-05,1.4645886190651107,0.4710423362100011
car,0.028769028592592005,3.063926175891502,20.834260742256816,2.1471857136661594,-0.18415788005665,1.0161984800380721,0.27276667569556984
anth,0.1420141502420113,0.3547782814430398,21.6802860499849,0.26544600768688026,0.05333046286127883,1.0936554330814547,0.23789624927577732
