,R2,RMSE,nRMSE,MAE,Bias
Cab,0.6306966543197632,8.2398099899292,0.11183900682347271,5.603709697723389,-0.5721494555473328
Car,0.6641621589660645,1.6594336032867432,0.09025682786698001,1.1009087562561035,-0.2147417515516281
Anth,0.6684442162513733,0.24901671707630157,0.10766574357114626,0.15976779162883759,-0.0014781870413571596
Cw,0.672016978263855,0.005147093441337347,0.09169942470102134,0.003035583533346653,-0.00031430035596713424
Cm,0.7213385701179504,0.003345227101817727,0.06697150869100095,0.0018954597180709243,-0.00040357818943448365
LAI,0.6591777801513672,1.0312045812606812,0.1461379178689444,0.7322599291801453,0.12785737216472626
Cp,0.6429061889648438,0.0002634288393892348,0.06275705070803277,0.00016353989485651255,-4.627532689482905e-05
Cbc,0.742271363735199,0.003242774633690715,0.07087640759347316,0.0017925262218341231,-0.00020676002895925194
