,R2_mean,R2_std,RMSE_mean,RMSE_std,nRMSE_mean,nRMSE_std,MAE_mean,MAE_std,Bias_mean,Bias_std
Cab,0.5962390899658203,0.0,8.615644454956055,0.0,0.11694021101992966,0.0,5.6584601402282715,0.0,0.37389877438545227,0.0
Car,0.6542665958404541,0.0,1.6837040185928345,0.0,0.09157689918059164,0.0,1.094136118888855,0.0,0.02569558285176754,0.0
Anth,0.7835192680358887,0.0,0.2012147605419159,0.0,0.086997921527483,0.0,0.12226016074419022,0.0,-0.029391692951321602,0.0
Cw,0.707133412361145,0.0,0.004863750655204058,0.0,0.0866514552445243,0.0,0.0028316546231508255,0.0,-0.0003787341120187193,0.0
Cm,0.7382594347000122,0.0,0.0032420724164694548,0.0,0.06490634997500065,0.0,0.0017951723420992494,0.0,-0.0004243915609549731,0.0
LAI,0.5177938342094421,0.0,1.2265838384628296,0.0,0.1738262334187035,0.0,0.7892746329307556,0.0,0.18680724501609802,0.0
Cp,0.6659045219421387,0.0,0.0002548047050368041,0.0,0.0607025101416953,0.0,0.00015813573554623872,0.0,-9.442879672860727e-06,0.0
Cbc,0.7554418444633484,0.0,0.003158831736072898,0.0,0.06904169143271235,0.0,0.001761792809702456,0.0,-0.00038885188405402005,0.0
