,r2_score,RMSE,nRMSE (%),MAE,Bias,RPD,spearmanr_squared
cab,0.17819257545836018,13.11460771381282,21.946453179453652,9.447569680895167,-1.799905888085061,1.1043868707176423,0.3573103220537793
cw,0.3826660635093198,0.008120631381245854,17.57979767394465,0.0055392117707201045,-0.0001735110538834732,1.2774268474049015,0.23379115940672723
cm,0.4975786448283294,0.005520757381204505,13.692836049613032,0.003416104011652129,-8.045346919582324e-05,1.4145244115717304,0.44202080751957046
LAI,0.11484843089274513,1.6490457222363595,22.896809029969333,1.2620522495858761,0.38854953124743347,1.0643803026369043,0.19360544261483184
cp,0.16207566770001197,0.000407945262239001,18.01484688093985,0.00028741562056750663,-5.542441778462911e-05,1.0948287266907932,0.24346670110698695
cbc,0.5012432636077934,0.005589108277329654,14.127074004586287,0.0034685514094115162,-0.00022062798253481567,1.4201560888682825,0.4780700528146271
car,-0.10971883645462568,3.27322426755032,22.255575586078994,2.287319164274276,-0.30297598814621585,0.9515292713576529,0.1843657045492666
anth,0.1355647208606095,0.35685321079677307,21.713188926274633,0.26369225223219417,0.07623048471888651,1.089227797102353,0.24517524203257118
