,R2,RMSE,nRMSE,MAE,Bias
Anth,-0.00876927375793457,0.4593808650970459,0.19568458267518052,0.3318534195423126,-0.04283080995082855
B,-0.00951528549194336,0.00026883144164457917,0.11654924484186664,0.00015626435924787074,-2.6099580281879753e-05
C,-0.04496002197265625,4.485806941986084,0.13762565114353967,2.663299322128296,-0.9304717183113098
Ca,-0.03122889995574951,0.09615155309438705,0.1298526652288459,0.05645960569381714,-0.01673237979412079
Car,-0.002239823341369629,2.616374969482422,0.15256833873357958,1.9665820598602295,-0.12368486821651459
Cel,-0.04810452461242676,1.9453344345092773,0.13081832229045434,1.1955913305282593,-0.41675880551338196
Chl,-0.02720201015472412,13.835685729980469,0.18979238672844917,11.55732250213623,2.2515079975128174
Cu,-0.004706263542175293,3.394170926185325e-05,0.13172506407915602,2.3433320166077465e-05,-2.3230390979733784e-06
EWT,-0.07481443881988525,9.15211296081543,0.14739757737236,5.965512275695801,-2.4146101474761963
Fiber,-0.04413318634033203,4.625978469848633,0.1596900281343681,2.9007089138031006,-0.9510599970817566
LAI,-0.008708477020263672,1.6732436418533325,0.231116654808016,1.3779881000518799,-0.15547168254852295
LMA,-0.010671734809875488,68.09815979003906,0.11753639775019381,41.31914138793945,-6.997562885284424
Lignin,-0.04638350009918213,2.3900437355041504,0.17444013365001768,1.5476806163787842,-0.5032025575637817
Mg,-0.024890780448913574,0.015869393944740295,0.14903125840724127,0.010388322174549103,-0.0024731007870286703
Mn,-0.03557753562927246,0.0022514155134558678,0.1852140665109578,0.0016505209496244788,-0.000417304050642997
N,-0.005987405776977539,0.09890805184841156,0.11548204097485558,0.06801402568817139,-0.007630603853613138
NSC,-0.06654059886932373,2.8037478923797607,0.16169607025798066,1.7454113960266113,-0.7003158330917358
P,-0.03005695343017578,0.009317266754806042,0.12748303146721013,0.006216101814061403,-0.0015915853437036276
K,-0.0811229944229126,0.062437452375888824,0.1587432138053835,0.04281983524560928,-0.017103286460042
S,-0.027954459190368652,0.008635826408863068,0.17959891191428448,0.005775057710707188,-0.0014241078170016408
