,R2_mean,R2_std,RMSE_mean,RMSE_std,nRMSE_mean,nRMSE_std,MAE_mean,MAE_std,Bias_mean,Bias_std
Cab,0.5668433904647827,0.0,8.9237642288208,0.0,0.12112232317225155,0.0,6.051199436187744,0.0,-0.034553490579128265,0.0
Car,0.47276461124420166,0.0,2.079205274581909,0.0,0.11308826830815298,0.0,1.247969150543213,0.0,0.13242587447166443,0.0
Anth,0.6302976012229919,0.0,0.26295191049575806,0.0,0.11369081280717593,0.0,0.16373974084854126,0.0,-0.03364822268486023,0.0
Cw,0.6134035587310791,0.0,0.005588114727288485,0.0,0.09955655779245327,0.0,0.003252018243074417,0.0,0.0001453982258681208,0.0
Cm,0.6481997966766357,0.0,0.00375867891125381,0.0,0.07524882159269089,0.0,0.001959217945113778,0.0,-0.00025576839107088745,0.0
LAI,0.5508748888969421,0.0,1.1837624311447144,0.0,0.16775776609475412,0.0,0.814649760723114,0.0,0.25580495595932007,0.0
Cp,0.5968340039253235,0.0,0.0002799072244670242,0.0,0.0666827213001782,0.0,0.00017151488282252103,0.0,7.474315225408645e-06,0.0
Cbc,0.7160736322402954,0.0,0.003403597977012396,0.0,0.07439147790190204,0.0,0.001866969745606184,0.0,0.00013679535186383873,0.0
