,R2_mean,R2_std,RMSE_mean,RMSE_std,nRMSE_mean,nRMSE_std,MAE_mean,MAE_std,Bias_mean,Bias_std
Cab,0.41231781244277954,0.0,10.394338607788086,0.0,0.14108244096680758,0.0,7.563956260681152,0.0,-0.489867240190506,0.0
Car,0.3652259111404419,0.0,2.281416893005371,0.0,0.12408658677091111,0.0,1.5731827020645142,0.0,-0.2746489346027374,0.0
Anth,0.18273133039474487,0.0,0.3909602761268616,0.0,0.16903695996876159,0.0,0.2827546298503876,0.0,-0.08165542036294937,0.0
Cw,0.5105968713760376,0.0,0.006287380587309599,0.0,0.11201451640692531,0.0,0.00394246494397521,0.0,-0.0009195824386551976,0.0
Cm,0.551561176776886,0.0,0.004243642557412386,0.0,0.08495780279336342,0.0,0.002340266015380621,0.0,-0.0004543793329503387,0.0
LAI,0.4359744191169739,0.0,1.3265702724456787,0.0,0.18799588466242745,0.0,0.9983952641487122,0.0,0.14253965020179749,0.0
Cp,0.4626319408416748,0.0,0.0003231528971809894,0.0,0.07698520329761516,0.0,0.0001951063022715971,0.0,-2.0933581254212186e-05,0.0
Cbc,0.5725942850112915,0.0,0.004175952635705471,0.0,0.09127261513157894,0.0,0.002289017429575324,0.0,-0.0003972820413764566,0.0
