,r2_score,RMSE,nRMSE (%),MAE,Bias,RPD,spearmanr_squared
cab,0.025376129275260992,0.8512891406559998,1.3150133191788838,0.23692833588965118,0.230823253209819,0.026131963936681782,0.01870010402949791
cw,0.03758189301678085,0.00029967651409738426,0.33872442866995733,0.00016933179330812015,0.00013998047732641851,0.04238109791745158,0.02738699065885094
cm,0.030937153099142564,0.0001867449186483207,0.6245447790373384,6.551161821005139e-05,5.4350871702416684e-05,0.05935433890386743,0.015397481955200921
LAI,0.02160894636463687,0.03773773672496274,0.4813315409051049,0.032078040577904615,0.035715562737115625,0.013286757812246612,0.022948229429901913
cp,0.052927686576554916,1.201042087543257e-05,1.0209144645719623,2.6845786980560153e-06,1.3514739239592019e-05,0.0486627775683252,0.024185520810763694
cbc,0.03521481413792343,0.0001865234994079311,0.9411721880401833,6.651554373370499e-05,6.911184076066722e-05,0.07161504891956137,0.024690199791904746
car,0.02452573698917602,0.10988398007577761,0.7398358668787339,0.0666085021699148,0.13352714337924132,0.013301981075318733,0.020898123457783555
anth,0.14290229579165473,0.02120148073582867,2.1615799110115606,0.011078242041302803,0.040425481101514206,0.08914648812376458,0.08919780707730628
