,r2_score,RMSE,nRMSE (%),MAE,Bias,RPD,spearmanr_squared
cab,0.37921249477682806,11.410792164447482,19.094429518123263,8.551264087966938,-1.344337457802885,1.2709125040144378,0.42109275294883747
cw,0.4128263895540649,0.007919334752590558,17.153725503552206,0.005379494869545257,-0.000433518036716584,1.308215953860811,0.26501576072714733
cm,0.6103571298143593,0.004861992720762162,12.064963626014281,0.0030147851985752885,0.00014932650452843672,1.606354993617807,0.5027359046570661
LAI,0.13394332650302537,1.6312282552459512,22.64932287593018,1.2746709865252233,0.370317258379285,1.0759567151977776,0.20392658883425482
cp,0.33691001089278344,0.0003626584642057771,16.022834888000325,0.0002614427921581948,-2.2120170345281864e-05,1.2317397670194412,0.300245306505751
cbc,0.6287254007532977,0.004820808465196123,12.200352159670945,0.003006027290687389,-2.0552799260608336e-05,1.6472654598928815,0.5435342451485808
car,0.06540280919421426,3.0061065053634146,20.440866112412216,2.1749828670758666,-0.290053313143368,1.0356875717431735,0.22866674763136624
anth,0.09776496508903451,0.3627240474735688,22.113980863875504,0.27070833933054506,0.07582757764119802,1.0725324786397497,0.22066033825850867
