,r2_score,RMSE,nRMSE (%),MAE,Bias,RPD,spearmanr_squared
cab,0.028342340859136086,0.818982632689505,1.2866313434261802,0.20117871942414617,0.20234666510063934,0.027145196829219738,0.022539292328175694
cw,0.04189289578957766,0.0002400819736741003,0.6460232980915115,0.00014657989304771437,0.00021013492816162463,0.04490014607952912,0.03074708780344028
cm,0.042138312180863696,0.00023369032488977775,0.8392156469626577,9.568673261212147e-05,4.780665429679633e-05,0.0732779089733177,0.019892667830317203
LAI,0.025831316023374292,0.04032304695353003,0.5200951415504338,0.039184528994199885,0.04060922291758628,0.01269194519798976,0.018138954345242597
cp,0.05886704103146373,1.2763782715557818e-05,1.228737530320325,5.31814082577376e-06,1.0700296016770331e-05,0.04997015388991585,0.023648042357963913
cbc,0.04596925536816434,0.000247856326461925,1.1600079079771812,0.00010342586947494498,7.281355891099448e-05,0.08409863938272713,0.03200595063700132
car,0.02682309489874704,0.11157527282066627,0.7333168979279012,0.05358047199468062,0.1031749568237307,0.014342212182887051,0.012581622505546836
anth,0.10068494419334971,0.025252998208025252,1.7516321577144622,0.017665491103889076,0.033105466013096434,0.07036756946518354,0.06827969576630688
