,R2_mean,R2_std,RMSE_mean,RMSE_std,nRMSE_mean,nRMSE_std,MAE_mean,MAE_std,Bias_mean,Bias_std
Cab,0.6085548400878906,0.0,8.48322582244873,0.0,0.11514289186297798,0.0,5.673836708068848,0.0,-0.7100380659103394,0.0
Car,0.6895527839660645,0.0,1.5954711437225342,0.0,0.08677790066470983,0.0,1.0894185304641724,0.0,-0.18474708497524261,0.0
Anth,0.5933362245559692,0.0,0.2757833003997803,0.0,0.11923863767326531,0.0,0.1709701120853424,0.0,0.01349925622344017,0.0
Cw,0.6865499019622803,0.0,0.005031768232584,0.0,0.08964481749080923,0.0,0.0029384195804595947,0.0,-6.544139978359453e-06,0.0
Cm,0.7393110394477844,0.0,0.0032355529256165028,0.0,0.06477582964707371,0.0,0.001804891275241971,0.0,-0.00028400332666933537,0.0
LAI,0.6025620698928833,0.0,1.1135648488998413,0.0,0.1578096639478859,0.0,0.7363287806510925,0.0,0.1959478259086609,0.0
Cp,0.693906307220459,0.0,0.0002438930096104741,0.0,0.058103000441965806,0.0,0.00015544526104349643,0.0,-1.772223367879633e-05,0.0
Cbc,0.7546684741973877,0.0,0.003163822228088975,0.0,0.06915076720459874,0.0,0.0017263968475162983,0.0,-0.00023271307873073965,0.0
