wavelength_nm,Cab,Car,Anth,Cw,Cm,LAI,Cp,Cbc
400,0.002562027373171517,0.015999137826278945,0.0017222932552028915,6.661731466612292e-09,0.0010321150721793952,0.950457598309381,0.0,0.0011108971859906578
401,0.0027060199773519455,0.014700843371454012,0.0015902454584081035,6.216755695295366e-09,0.0010364882380743986,0.9505593740759566,6.20158836135846e-15,0.0011130745799895092
402,0.0030450536335326988,0.013401906718390706,0.001458122225352768,5.771534534997175e-09,0.0010411427881763151,0.950661168035943,6.2032981620495324e-15,0.0011155014213022178
403,0.003523393454547118,0.012102327534372364,0.001325923518154073,5.32606785174446e-09,0.0010460754703773686,0.9507629801942037,6.205008905797283e-15,0.00111817651427268
404,0.0040925895027557665,0.01080210555597029,0.0011936493108290226,4.880355403500625e-09,0.0010512828719741812,0.950864810555604,6.206720593382131e-15,0.0011210985099349975
405,0.004719979853567653,0.009501240636897307,0.0010612995967770606,4.434396940766012e-09,0.00105676143234047,0.9509666591250105,0.0,0.0011242659108092242
406,0.0053853468809493465,0.008199732841519123,0.0009288744026819329,3.988192324619179e-09,0.0010625074556985866,0.9510685259072933,9.315220204783879e-15,0.0011276770760939112
407,0.006076301489762926,0.006897582644449864,0.000796373816316967,3.541741296460544e-09,0.00106851712389783,0.9511704109073215,6.211861326976705e-15,0.0011313302272208802
408,0.006785097207674619,0.005594791409377907,0.0006637980477314959,3.0950437270459535e-09,0.0010747865091190988,0.9512723141299683,9.320365196597514e-15,0.0011352234537297732
409,0.007506741814710685,0.004291362741427285,0.0005311475822470388,2.648099328494315e-09,0.0010813115864272344,0.9513742355801066,6.215293216238904e-15,0.001139354719424467
410,0.008237913862777642,0.0029873073844872452,0.0003984236396060764,2.2009079682617422e-09,0.0010880882461018165,0.9514761752626129,0.0,0.001143721868769605
411,0.008976335586286402,0.0016826709143700133,0.0002656300115098396,1.7534694329254106e-09,0.0010951123056806805,0.9515781331823645,9.328093349480351e-15,0.0011483226334855505
412,0.009720401258028087,0.0003781355557602486,0.00013278593686129355,1.3057834424920407e-09,0.0011023795216625405,0.9516801093442407,3.1102240830674256e-15,0.0011531546393005701
413,0.010468950585852364,0.0009294582080243446,4.531964173703433e-06,8.578498637886764e-10,0.0011098856008159095,0.951782103753123,9.333252575274221e-15,0.0011582154128215367
414,0.011221126497426296,0.0022358843936177903,0.00013336208120968702,4.096684697095854e-10,0.0011176262110556851,0.9518841164138926,6.223889552586543e-15,0.0011635023884815688
415,0.01197628339092381,0.003543152957517876,0.00026643529896602054,3.876093536452694e-11,0.0011255969918475858,0.9519861473314344,0.0,0.001169012915527989
416,0.012733926407404044,0.004851107988510663,0.000399610511243829,4.874385818650935e-10,0.0011337935641183101,0.9520881965106356,9.34100212343325e-15,0.001174744265014355
417,0.013493670280309138,0.006159726349626612,0.0005328686300689301,9.363646615630477e-10,0.001142211539642482,0.952190263956383,3.1145293889183173e-15,0.0011806936367600245
418,0.014255210846817872,0.007469001447188791,0.0006662058828323312,1.385539349062507e-09,0.0011508465298964619,0.9522923496735672,9.346175642358121e-15,0.0011868581662485697
419,0.015018304936450443,0.008778930906551343,0.0007996210550519721,1.8349629145311814e-09,0.0011596941543658417,0.9523944536670789,3.1162548504776525e-15,0.0011932349314309773
420,0.01578275591904346,0.010089513836841004,0.0009331136638052244,2.2846355243786537e-09,0.0011687500483028245,0.9524965759418109,0.0,0.001199820959408951
421,0.01654840314991047,0.011400749979607726,0.0010666835006788342,2.7345573900140834e-09,0.0011780098699336976,0.9525987165026595,9.353946674765231e-15,0.0012066132329716388
422,0.017315114146290052,0.012712639383463236,0.001200330479342736,3.1847287332033913e-09,0.0011874693071204309,0.9527008753545205,3.1188466304699138e-15,0.0012136086969638052
423,0.01808277870912956,0.014025182260973554,0.001334054574559528,3.635149725332781e-09,0.0011971240834839133,0.9528030525022914,3.1197115154333604e-15,0.001220804264465958
424,0.0188513044511555,0.015338378918867907,0.0014678557944557,4.085820597299509e-09,0.0012069699640023482,0.9529052479508741,3.1205768802110314e-15,0.0012281968227670552
425,0.019620613355567206,0.0166522297211907,0.0016017341666532984,4.536741613543906e-09,0.0012170027600960172,0.9530074617051688,3.1214427252023235e-15,0.001235783239118208
426,0.020390639099658457,0.017966735068578574,0.0017356897308035398,4.9879128563954214e-09,0.0012272183342182318,0.9531096937700806,9.366927152421202e-15,0.0012435603662520858
427,0.02116132495285704,0.01928189538598938,0.0018697225343180274,5.439334619691134e-09,0.0012376126039680664,0.9532119441505146,3.1231758574255484e-15,0.0012515250476595515
428,0.021932622110833543,0.02059771111511752,0.002003832629807271,5.891007123723177e-09,0.0012481815457482288,0.9533142128513765,3.124043145458488e-15,0.0012596741226154032
429,0.022704488364013405,0.02191418270953299,0.0021380200734824415,6.342930542664821e-09,0.001258921197986198,0.953416499877577,3.1249109153070534e-15,0.0012680044309477283
430,0.023476887024957704,0.02323131063146641,0.002272284924116974,6.795105076969768e-09,0.001269827663943008,0.9535188052340264,3.125779167372864e-15,0.0012765128175471817
431,0.024249786057905457,0.02454909534962646,0.0024066272423574455,7.247530951958749e-09,0.001280897114131654,0.9536211289256368,9.37994370617393e-15,0.001285196136615265
432,0.025023157367501457,0.025867537337681476,0.0025410470902511397,7.700208320699778e-09,0.001292125788368701,0.9537234709573221,0.0,0.0012940512556492703
433,0.025933071570394147,0.027623849232312595,0.002744917313866278,8.387478358276278e-09,0.0013145091525846486,0.953799096085079,9.384403596169272e-15,0.001312953579169711
434,0.026864655410300947,0.029435007181093698,0.002960038761685196,9.11367986722668e-09,0.0013395920625278953,0.9538725891127843,0.0,0.0013349136879409454
