band_index,wavelength_nm,Cab_imp_mean,Cab_imp_std,Cab_signed_mean,Car_imp_mean,Car_imp_std,Car_signed_mean,Anth_imp_mean,Anth_imp_std,Anth_signed_mean,Cw_imp_mean,Cw_imp_std,Cw_signed_mean,Cm_imp_mean,Cm_imp_std,Cm_signed_mean,LAI_imp_mean,LAI_imp_std,LAI_signed_mean,Cp_imp_mean,Cp_imp_std,Cp_signed_mean,Cbc_imp_mean,Cbc_imp_std,Cbc_signed_mean
10,410.0,0.0007998907240107656,0.0005052301528300257,0.0003646624948790607,0.0007652254813971618,0.00048680359460393717,0.00024043576680317832,0.0009855108995301027,0.0001831740997923862,6.561744764136772e-05,0.0007342972870295247,0.00015437065288024122,0.00021609471878036857,0.0003961840314635386,3.390118479711688e-05,0.00012687049328026964,0.0009244662360288203,0.0002845638805911463,0.00021598944537496814,0.0007769715448375791,0.00028802745813723377,0.00021271118506168327,0.00047181272141945857,2.5264603177857675e-05,0.0001673283525936616
11,411.0,0.0007500780144861589,0.0004694621684944431,0.00033324409984440234,0.0007153299423710754,0.0003829341321210314,0.00016620980424401446,0.000852792349178344,0.00020822850576647324,-5.70392197308441e-05,0.0006115848276143273,0.00010711425775485937,0.00016380923261749558,0.0003030097723240033,6.2720086949591e-05,6.079563657597949e-05,0.0007930321153253317,5.189525242283006e-05,2.1406342663491767e-05,0.0006833875959273428,0.00024065426635357933,0.00018062190792988986,0.00035148963797837496,6.297597577975385e-05,7.958157546757623e-05
12,412.0,0.0008801269480803361,0.0005691012695303265,0.0005046668278131013,0.0007596249342896044,0.0004288820809660946,0.00022428367056666806,0.0010975634795613587,0.00019520091834484776,0.00015014694266331693,0.0008697208249941468,0.0002713424885040193,0.00024234766412215927,0.0004516465220755587,9.917320143827476e-05,0.00020015164538259947,0.001045484406252702,0.000587197714747841,0.0004725148731571001,0.0008364992584877958,0.00026765884224062885,0.0004611902210551004,0.000543481515099605,0.0001470108568905899,0.00025466280567343347
13,413.0,0.000665896775899455,0.00033264599502875553,0.00032541076507186517,0.0005775173873795817,0.00022130574474698905,0.00018168067435908597,0.0009793483380538721,0.00018210874459986077,5.429673668307562e-06,0.0008145340640718738,0.0003124669144575986,0.00025600201479392126,0.00041410536505281925,0.0001084137350996122,0.00018727306208650893,0.000990214990451932,0.0006213357673631317,0.0004672847693048728,0.0007667085446882993,0.00019961916594027324,0.00042970995491486974,0.000499865806583936,0.00016194904841385253,0.0002444890415063128
14,414.0,0.0006048617069609463,0.00033786385318553816,0.0002494786070504536,0.000594057230046019,0.0003215812580419951,0.0001573309042820862,0.0008668176014907658,0.00034316640962602575,-1.3158873722810919e-05,0.0005877483442115287,0.00014183894488619718,0.00012090967720723711,0.00030975045228842646,6.786259612374547e-05,2.0255469280527905e-05,0.0006448125350289047,3.970635990696972e-05,0.00010590704884331596,0.0005528949162301918,0.00013399806784193343,0.00022740348746689656,0.00036527117481455207,6.930020513999534e-05,2.1098751555352162e-05
15,415.0,0.0006418146658688784,0.00033538391619835945,0.0002727163810050115,0.0006402853080847611,0.0003372046644621536,0.00019479160255286843,0.0009477609031212827,0.00021485675623395252,3.723194095073268e-05,0.0006387711230975887,0.00010190822156319287,0.00011732696051088472,0.00034836982376873493,3.168408754227244e-05,8.131397771649063e-05,0.0007294388778973371,0.00028602688741023713,0.00021276273279606053,0.0007266338216140866,0.0001777275117719854,0.0002838509390130639,0.00040495664385768276,4.1073331315545967e-05,8.686387930841495e-05
16,416.0,0.0006040862936060876,0.0002096696868582074,0.0003093368820069979,0.0005642792384605855,0.00016021971139453688,0.00023732861154712737,0.0008300210271651546,0.00018859083206289315,0.00013886831917867917,0.0007052543805912137,0.0003165692380015384,0.00027371925049616647,0.0003580508928280324,0.00012157756883776509,0.00015819086699290588,0.0008558545281024029,0.0006385224974045685,0.0004394950498560017,0.0007520829676650465,0.00024391604292589038,0.00037822750224828877,0.000420298349733154,0.00017221561919842634,0.00019178922472444052
17,417.0,0.0005960018315818161,0.0002655393870192818,0.00031537121928219375,0.0005071572280333688,0.00020887300500676612,0.00021602480652897307,0.0007095462642610073,0.0002046492271397799,7.710337134388585e-05,0.0006061091844458133,0.00018782343155867475,0.00017307356271582344,0.00030313436097155016,4.377199096264507e-05,4.228969676963364e-05,0.0006623082250977556,0.0001729469164484291,4.40558991006886e-05,0.0005422110746925076,0.00017105200699693134,0.00018010518215305638,0.0003550628510614236,5.584395328970653e-05,4.3644805070168026e-05
18,418.0,0.0006091309041948989,0.00028495919677695985,0.00033396111393813044,0.0005465296562761068,0.0001964162564517132,0.000239734358425873,0.0007496686885133386,0.0003120753732950866,0.00014776935374053815,0.0005057926561372975,0.00017181521057463102,0.00016387807651578137,0.0002451277105137706,6.1034999505297096e-05,4.270882224470067e-06,0.0005028159745658437,1.0231000818689208e-05,0.00012315460480749607,0.0004075502705139418,0.00013354441466857894,0.00015508624104162058,0.00028776676723888767,6.819669655415456e-05,-3.5632886768629155e-06
19,419.0,0.0006423145532608032,0.00023166111717521628,0.0003116869011137169,0.0005435993468078474,0.00012328537272698157,0.0002476131194271147,0.0008329992609408995,0.00022027041859610372,0.0001885884121293202,0.0005434241417484978,2.8840864659030232e-05,0.00016587449257106832,0.0002943752867092068,6.353913146105537e-05,5.6395675225455e-05,0.0005609789416970065,0.0002801274269513288,0.0001230187202357532,0.00045794563872429234,8.802765121056555e-05,0.0001461402134737,0.0003460578348798056,9.239222451155325e-05,6.780521531860965e-05
