trait,imp_frac,width_frac,enrichment,peak_nm
Cab,0.1381154581431977,0.09413131900058105,1.4672636016323657,703.0
Car,0.03855307089381298,0.04706565950029053,0.819133765533977,703.0
Anth,0.060622883673970916,0.03544450900639163,1.7103603738180977,784.0
Cw,0.07594412007575962,0.09413131900058105,0.8067890780887798,1431.0
Cm,0.2576298435546828,0.15223707147007554,1.6922937433496532,2144.0
LAI,0.35637217335769933,0.34921557234166184,1.0204933616449259,779.0
Cp,0.14029775877726894,0.10052295177222545,1.3956788604374557,2144.0
Cbc,0.20083135164950763,0.12376525276002324,1.6226796065202,2144.0
